"idhod","hodnota","stapro_kod","mj_cis","mj_kod","typosoby_kod","odvetvi_cis","odvetvi_kod","rok","ctvrtleti","uzemi_cis","uzemi_kod","stapro_txt","mj_txt","typosoby_txt","odvetvi_txt"
"741372505","519.9","316","78","80403","100","5103","G","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381479","289.5","316","78","80403","200","5103","O","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380489","268.7","316","78","80403","200","5103","F","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741380709","272.2","316","78","80403","200","5103","H","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741381809","51","316","78","80403","200","5103","R","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"741379939","118.9","316","78","80403","200","5103","A","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"741381919","39.7","316","78","80403","200","5103","S","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ostatní činnosti"
"786863104","4051.6","316","78","80403","200",,,"2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"786863116","4184.6","316","78","80403","100",,,"2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"741373620","284.4","316","78","80403","100","5103","Q","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741380504","260.5","316","78","80403","200","5103","F","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741381494","297.3","316","78","80403","200","5103","O","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741372630","256.3","316","78","80403","100","5103","H","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741381714","269","316","78","80403","200","5103","Q","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741380724","252.5","316","78","80403","200","5103","H","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741372740","118.6","316","78","80403","100","5103","I","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
